Year,Total,Gas,Liquids,Solids,Gas Flaring,Total w/o cement and flaring,Cement Production,Per Capita,Total Co2 ,Total C Normalized,Total CO2 Normalized
1822,15,0,0,15,0,15,0,,55.005,15000000,55005000
1823,16,0,0,16,0,16,0,,58.672,16000000,58672000
1824,16,0,0,16,0,16,0,,58.672,16000000,58672000
1825,17,0,0,17,0,17,0,,62.339,17000000,62339000
1826,17,0,0,17,0,17,0,,62.339,17000000,62339000
1827,18,0,0,18,0,18,0,,66.006,18000000,66006000
1828,18,0,0,18,0,18,0,,66.006,18000000,66006000
1829,18,0,0,18,0,18,0,,66.006,18000000,66006000
1830,24,0,0,24,0,24,0,,88.008,24000000,88008000
1831,23,0,0,23,0,23,0,,84.341,23000000,84341000
1832,23,0,0,23,0,23,0,,84.341,23000000,84341000
1833,24,0,0,24,0,24,0,,88.008,24000000,88008000
1834,24,0,0,24,0,24,0,,88.008,24000000,88008000
1835,25,0,0,25,0,25,0,,91.675,25000000,91675000
1836,29,0,0,29,0,29,0,,106.343,29000000,106343000
1837,29,0,0,29,0,29,0,,106.343,29000000,106343000
1838,30,0,0,30,0,30,0,,110.01,30000000,110010000
1839,31,0,0,31,0,31,0,,113.677,31000000,113677000
1840,33,0,0,33,0,33,0,,121.011,33000000,121011000
1841,34,0,0,34,0,34,0,,124.678,34000000,124678000
1842,36,0,0,36,0,36,0,,132.012,36000000,132012000
1843,37,0,0,37,0,37,0,,135.679,37000000,135679000
1844,39,0,0,39,0,39,0,,143.013,39000000,143013000
1845,43,0,0,43,0,43,0,,157.681,43000000,157681000
1846,43,0,0,43,0,43,0,,157.681,43000000,157681000
1847,46,0,0,46,0,46,0,,168.682,46000000,168682000
1848,47,0,0,47,0,47,0,,172.349,47000000,172349000
1849,50,0,0,50,0,50,0,,183.35,50000000,183350000
1850,54,0,0,54,0,54,0,,198.018,54000000,198018000
1851,54,0,0,54,0,54,0,,198.018,54000000,198018000
1852,57,0,0,57,0,57,0,,209.019,57000000,209019000
1853,59,0,0,59,0,59,0,,216.353,59000000,216353000
1854,69,0,0,69,0,69,0,,253.023,69000000,253023000
1855,71,0,0,71,0,71,0,,260.357,71000000,260357000
1856,76,0,0,76,0,76,0,,278.692,76000000,278692000
1857,77,0,0,77,0,77,0,,282.359,77000000,282359000
1858,78,0,0,78,0,78,0,,286.026,78000000,286026000
1859,83,0,0,83,0,83,0,,304.361,83000000,304361000
1860,91,0,0,91,0,91,0,,333.697,91000000,333697000
1861,95,0,0,95,0,95,0,,348.365,95000000,348365000
1862,97,0,0,96,0,96,0,,352.032,96000000,352032000
1863,104,0,0,103,0,103,0,,377.701,103000000,377701000
1864,112,0,0,112,0,112,0,,410.704,112000000,410704000
1865,119,0,0,119,0,119,0,,436.373,119000000,436373000
1866,122,0,0,122,0,122,0,,447.374,122000000,447374000
1867,130,0,0,130,0,130,0,,476.71,130000000,476710000
1868,135,0,0,134,0,134,0,,491.378,134000000,491378000
1869,142,0,0,142,0,142,0,,520.714,142000000,520714000
1870,147,0,1,146,0,147,0,,539.049,147000000,539049000
1871,156,0,1,156,0,157,0,,575.719,157000000,575719000
1872,173,0,1,173,0,174,0,,638.058,174000000,638058000
1873,184,0,1,183,0,184,0,,674.728,184000000,674728000
1874,174,0,1,173,0,174,0,,638.058,174000000,638058000
1875,188,0,1,187,0,188,0,,689.396,188000000,689396000
1876,191,0,1,190,0,191,0,,700.397,191000000,700397000
1877,194,0,2,192,0,194,0,,711.398,194000000,711398000
1878,196,0,2,194,0,196,0,,718.732,196000000,718732000
1879,210,0,3,207,0,210,0,,770.07,210000000,770070000
1880,236,0,3,233,0,236,0,,865.412,236000000,865412000
1881,243,0,4,239,0,243,0,,891.081,243000000,891081000
1882,256,0,4,252,0,256,0,,938.752,256000000,938752000
1883,272,0,3,269,0,272,0,,997.424,272000000,997424000
1884,275,0,4,271,0,275,0,,1008.425,275000000,1008425000
1885,277,1,4,273,0,278,0,,1019.426,278000000,1019426000
1886,281,2,5,275,0,282,0,,1034.094,282000000,1034094000
1887,295,3,5,287,0,295,0,,1081.765,295000000,1081765000
1888,327,5,5,317,0,327,0,,1199.109,327000000,1199109000
1889,327,3,6,318,0,327,0,,1199.109,327000000,1199109000
1890,356,3,8,345,0,356,0,,1305.452,356000000,1305452000
1891,372,2,9,360,0,371,0,,1360.457,371000000,1360457000
1892,374,2,9,363,0,374,0,,1371.458,374000000,1371458000
1893,370,2,10,358,0,370,0,,1356.79,370000000,1356790000
1894,383,2,9,372,0,383,0,,1404.461,383000000,1404461000
1895,406,2,11,393,0,406,0,,1488.802,406000000,1488802000
1896,419,2,12,405,0,419,0,,1536.473,419000000,1536473000
1897,440,2,13,425,0,440,0,,1613.48,440000000,1613480000
1898,465,2,13,449,0,464,0,,1701.488,464000000,1701488000
1899,507,3,14,491,0,508,0,,1862.836,508000000,1862836000
1900,534,3,16,515,0,534,0,,1958.178,534000000,1958178000
1901,552,4,18,531,0,553,0,,2027.851,553000000,2027851000
1902,566,4,19,543,0,566,0,,2075.522,566000000,2075522000
1903,617,4,20,593,0,617,0,,2262.539,617000000,2262539000
